tweet, polarity, negative, neutral, positive, compound
sir fb twitter etc mandatory many friend use neither let aadhar optional n end debate,positive,0.0,0.727,0.273,0.5423
link aadhar number bank account help receipt direct benefit transfer dbt lpg subsidy n,positive,0.0,0.588,0.412,0.7184
linking aadhar number bank account mandatory currently however encourage customer n,positive,0.0,0.543,0.457,0.5994
govt start luking frwd merge crime history detail people aadhar card,negative,0.259,0.741,0.0,-0.5423
mnay bank accept udyoag aadhar open bank account please take rbi udyog aadhar must document smb,positive,0.0,0.741,0.259,0.5994
communication effect however encourage customer link aadhar number bank account n,positive,0.0,0.635,0.365,0.5574
amp yr ilk lost trust indian amp hindu journo losing trust lost ref pranoy roy view trusted,positive,0.258,0.394,0.348,0.5423
gt call frm th num amp askd fr atm pin num amp aadhar crd num pls safe guard custmer enquired thm amp denyed gve dtls,positive,0.0,0.777,0.223,0.6486
southasiasatellite aadhaar intrusion curb freedom indian anybody paint independent men naxals lynch aadharcard,positive,0.0,0.741,0.259,0.6369
fair think bank decent job demon great constraint one know anything abt aadhar,positive,0.0,0.632,0.368,0.7506
hack financial data common man thru aam aadmi ka aadhar govt recover npa richest client,positive,0.0,0.805,0.195,0.5267
u please see black coat harass poor aged client make stand aadhar sun,negative,0.358,0.511,0.131,-0.6124
aadhar viciously attacked modi using big way curb corruption corrupt left wing ngo facing cash crunch,negative,0.275,0.725,0.0,-0.6486
want aadhar detail go locality say u r survey govt subsidy financial help happily give u detail,positive,0.0,0.591,0.409,0.765
biggest fan remain till alive considering fact apply aadharcard,positive,0.0,0.588,0.412,0.5994
went time sbbj branch kyc every time refuse take aadhar card copy amp misbehaved patheticservice sbi,negative,0.255,0.745,0.0,-0.5859
threat personal identity hacking aadhar card info,negative,0.362,0.638,0.0,-0.5267
hearing aadhar card pan linking concludes supreme court,positive,0.0,0.66,0.34,0.5574
agree yet protest aadhar interest country,positive,0.19,0.286,0.524,0.5423
per supreme court dirctv nt mandtry link aadhar nd bank force customer link aadhar,positive,0.0,0.783,0.217,0.5574
ur loot come picture hence linking aadhaar shit,negative,0.34,0.66,0.0,-0.5574
sir try improve quality aadhar card important identification document please think,positive,0.0,0.533,0.467,0.7184
twitter account must linked aadhar r sm terrorist apprehended n punished abuse hatred instigating content,negative,0.641,0.359,0.0,-0.9524
aadhar link pan supreme court hear plea challenging centre decision via,positive,0.0,0.634,0.366,0.6369
electronic leash government earn trust demand agree aadhar,positive,0.122,0.407,0.472,0.6486
slight change country fails protect aadhar leakage successfully protected identity violent rapist,negative,0.441,0.228,0.331,-0.5994
issue go tough able anything relates aadhar please help u asap n n,positive,0.111,0.519,0.37,0.5423
madam ask sardesai unblock critic crime india nirbhaya supremecourt,negative,0.444,0.556,0.0,-0.6808
right care read plog post play,positive,0.0,0.417,0.583,0.6808
feel govt need explain reason aadhar flip flop voter holding voter contempt,negative,0.383,0.617,0.0,-0.7351
evidence like g guy aadhar success gujarat,positive,0.0,0.392,0.608,0.7351
pretty sure modi flip flopped aadhar willingly amp driving force behind making aadhar invasive pervasive,positive,0.0,0.703,0.297,0.6705
usha r put rightly aadhar take away right liberty right bodily integrity right confidentiality right secrecy,positive,0.0,0.684,0.316,0.7184
mismatch pan amp aadhar going create havoc two bad database govt data going match sufferertaxpayer,negative,0.344,0.558,0.098,-0.743
use police verification passport criminal give bribe police amp get passport use aadhar,negative,0.321,0.679,0.0,-0.6369
thinkng getting tattoo arm something unique personal permanent defines proud indian ok got aadhar card number,positive,0.0,0.663,0.337,0.6808
dear bahubali conceptualized time mm govt thus credit go like gst aadhar mangalyaan etc,positive,0.0,0.588,0.412,0.7717
yes vision amp make difference using aadhar preventing corruption amp say one change view,positive,0.065,0.655,0.28,0.5574
aadhar wd coz ww full proof plan cia stupido ft n axalnad,positive,0.0,0.73,0.27,0.5719
govt turned constitution head assuming pan fraud unless linked aadhar presuming guilty till proven innocent,negative,0.314,0.571,0.114,-0.6369
hi order unblock account kindly share screenshot kyc doc e pan card aadhar card via direct message,positive,0.0,0.722,0.278,0.6597
sc told slave rumored rapist aadhar card aadharpocalypse destroydestroytheaadhaar,negative,0.38,0.62,0.0,-0.7096
brilliant video vinod dua nail bjp govt unnecessarily illegally forcing aadhar u b,positive,0.0,0.725,0.275,0.5859
today interview mint read supreme court decide aadhar privacy n security issue,positive,0.0,0.6,0.4,0.7184
aadhar efficiently implemented greatly help checking tax evasion assist security agency faster reliable collection data,positive,0.0,0.597,0.403,0.796
submitted pan application using aadhar amp status say waiting supporting doc please clarify ack,positive,0.0,0.698,0.302,0.6369
yesterday lost wallet cash card license aadhar voter id pan etc stuck pune managing return,negative,0.249,0.751,0.0,-0.5106
kindly ask mr dose aadhar stop movement otherwise promote fraud amp chaos common indian,negative,0.396,0.367,0.237,-0.5994
yes aadhar pan card mandatory open individual saving salary account aadhar card mandatory n,positive,0.0,0.654,0.346,0.5106
look like big scam thought aadhar entry fool proof,negative,0.437,0.397,0.166,-0.6249
want change detail aadhar way able website bad location nearby go sad story,negative,0.369,0.559,0.073,-0.743
able link aadhar pf account please help,positive,0.0,0.5,0.5,0.6124
thinking getting tattoo arm something unique personal permanent defines proud indian ok got aadharcard number,positive,0.0,0.645,0.355,0.6808
aadharcard mandatory data protection system inadequate private information easily leaked fail,negative,0.467,0.33,0.203,-0.7003
grandparent nepal frgt take voter id card aadhar card id please help u mam,positive,0.0,0.688,0.312,0.6124
respected sir unable apply aadhar card saying software working come th may also pls look picture,positive,0.0,0.761,0.239,0.5267
declear aadhar congress scam,negative,0.552,0.448,0.0,-0.5719
safety aadhar big issue nd indian become easy prey fir international scamsters please help mk safe,positive,0.0,0.447,0.553,0.9118
corrct wrong u hav valid pan f dem cn still b traced aadhar ensures u dont evade tax nd hide income multiple pan,negative,0.22,0.78,0.0,-0.5859
kindly let u know whether aadhar number mandatory saving account per rbi guideline,positive,0.0,0.608,0.392,0.5859
still difficulty getting wife aadhar bt need understand dealing bn ppl u qn rude,negative,0.329,0.671,0.0,-0.6597
sadly leakage biometric info lethal provided year back lost yet get aadhar card,negative,0.317,0.683,0.0,-0.6249
aadhar mandatory avoid fake pan card say sc,negative,0.457,0.431,0.112,-0.6124
asked charge register mobile number aadhar card free,positive,0.0,0.566,0.434,0.5574
aadhar profit committed revitalize indian art amp craft,positive,0.0,0.545,0.455,0.6124
aadhar profit committed revitalize indian art amp craft,positive,0.0,0.545,0.455,0.6124
hi pls guide procedure aadhar card fraud serious issue pls reply,negative,0.347,0.476,0.177,-0.5423
u r hoping hope r complicit settling rohingyas aadharcard relief illegal settler action,positive,0.196,0.326,0.478,0.6369
timely article rohingya bd refuse accept terrorism criminality pretext r settled jammu aadhar,negative,0.37,0.489,0.141,-0.6369
aadharcard reliable bcoz rohingya bangladeshi get indian refugee within india fail get,negative,0.241,0.759,0.0,-0.5423
agree pak policy aadhar whats problem mind sharing bio metric happily u visa,positive,0.138,0.408,0.454,0.7351
idbi threatened stall mobile banking facility linked aadhar,negative,0.444,0.556,0.0,-0.5859
wonder much resistance aadhar guy happily give biometrics u visa publicity stunt perhaps,positive,0.0,0.753,0.247,0.5574
bjp campaigned constituency aadhar fraud voted ananth kumar ignoring nilekani,negative,0.448,0.552,0.0,-0.7579
true thats official aadhar handle responding joker playing game people,positive,0.0,0.534,0.466,0.6249
aadhar data leak shocking state governance say congress,negative,0.459,0.541,0.0,-0.6249
proof aadhaarcard mght fail alrdy r hearin cmplnts leak duplicatn cook frnd aadhar frm nepal,negative,0.33,0.67,0.0,-0.7096
really bad experience n rail aadhar canteen n lokmanya tilak terminus n mumbai unhygenic food served,negative,0.24,0.76,0.0,-0.5849
pathetic service still waiting kid aadhar since december total waste,negative,0.448,0.552,0.0,-0.7579
sir want apply aadhar bt per rule need gt token dt also vl gt th may attachd detail pls help,positive,0.0,0.612,0.388,0.7579
sadly pak crappy aadhar modisarkar reduced gutless spineless tasteless brainless odorless lol,negative,0.352,0.495,0.154,-0.5574
alert aadhar site secured visit read digital india analysis,positive,0.0,0.588,0.412,0.5994
alert aadhar site secured visit read digital india analysis,positive,0.0,0.588,0.412,0.5994
alert aadhar site secured visit read digital india analysis,positive,0.0,0.588,0.412,0.5994
enemy exploit weakness aadhar destroy economy afar study tech conscience,negative,0.651,0.349,0.0,-0.8807
alert aadhar site secured visit read digital india analysis,positive,0.0,0.588,0.412,0.5994
alert aadhar site secured visit read digital india analysis,positive,0.0,0.588,0.412,0.5994
alert aadhar site secured visit read digital india analysis,positive,0.0,0.588,0.412,0.5994
alert aadhar site secured visit read digital india analysis,positive,0.0,0.588,0.412,0.5994
hi register complaint fraud aadhar card pls guide,negative,0.488,0.407,0.106,-0.6908
alert aadhar site secured visit read digital india analysis,positive,0.0,0.588,0.412,0.5994
alert aadhar site secured visit read digital india analysis,positive,0.0,0.588,0.412,0.5994
taking fingerprint accused right breach accused got aadhar card problem finger print solved,negative,0.39,0.495,0.115,-0.6124
govt pushing aadhar without proper system place crime common citizen could take u ride,negative,0.226,0.774,0.0,-0.5423
online pf withdrawal great initiative aadhar seeding online like income tax site still pf office visit,positive,0.0,0.628,0.372,0.7717
sir kindly help rcvd home loan subsidy apl name rohit kumar aadhar housing noida,positive,0.0,0.67,0.33,0.7096
explain update aadhar new address belongs mom update got rejected,negative,0.268,0.732,0.0,-0.5106
aadhar hence file itr hence claim refund fuck,negative,0.333,0.667,0.0,-0.5423
people put life story information facebook simultaneously complain aadhar privacy risk please die,negative,0.429,0.455,0.116,-0.7351
perfect metaphor aadhar,positive,0.0,0.351,0.649,0.5719
sir received aadhar card enrolled august kindly help,positive,0.0,0.504,0.496,0.7096
thought free charging rupee aadhar card camp well announced beforehand,positive,0.0,0.597,0.403,0.6597
find wrong linking aadharcard pan one questioned linked jio quarreling,negative,0.36,0.64,0.0,-0.5423
imagine sitting like cushy comfort zone visualising dehydrated farmer aadhar thought bubble,positive,0.0,0.667,0.333,0.6124
sc reserve verdict linking aadhar pan supreme court thursday reserved verdict linking,positive,0.0,0.57,0.43,0.7003
privacy joke neither justification excuse aadhar surely legal literacy see,positive,0.088,0.434,0.477,0.6573
unable update aadhar card system say invalid pincode valid pincode please help,positive,0.0,0.667,0.333,0.6124
linking aadhar filing return eliminate use multiple pan card money laundering criticism flimsy ground wrong,negative,0.316,0.684,0.0,-0.7184
ever opposing aadhar view expressed see arrogance careless response nandan nilekani pioneer india,negative,0.349,0.651,0.0,-0.7096
much said support justifying excusing aadhar concept couple thing say well n,positive,0.0,0.652,0.348,0.5859
wait exclamation mark lying aadhar aadhar hehe,negative,0.362,0.638,0.0,-0.5267
good defence aadhar mr nilekani,positive,0.0,0.411,0.589,0.5106
aadhar able protect confidentiality expect gst even fm give assurance,positive,0.0,0.615,0.385,0.6124
danger privacy aadhar real danger look privacy,negative,0.576,0.424,0.0,-0.7783
agree aadhar great tool achieving socioeconomic equity issue need addressed,positive,0.0,0.548,0.452,0.765
whilst concern valid pl dont recommend throw baby water aadhar great concept like social security card usa,positive,0.088,0.539,0.373,0.7839
true people talking aadhar realizing lethal smartphone hand,positive,0.0,0.5,0.5,0.7184
yes saving convenience might help owning new property maybe aadhar way rule changing much needed imo,positive,0.0,0.722,0.278,0.6597
hon sc must support govt make aadhar compulsory help curb corruption crept almost blood indian,positive,0.0,0.707,0.293,0.6597
rough estimate criminal born india everyday till get aadhar,negative,0.298,0.702,0.0,-0.5267
object fingerprinting u visa dishonest b scared linking pan make nonaadhar itr file person,negative,0.398,0.602,0.0,-0.765
crib giving biometric entire family detail apply u visa happily complain abt aadhar,positive,0.143,0.514,0.343,0.5423
got aadhar card time get ration credit amp pan card thanks indian gov cattle,positive,0.0,0.686,0.314,0.6705
passport aadhar also linked like pan card make link stronger,positive,0.0,0.611,0.389,0.6249
anything supreme court say matter remember aadhar,positive,0.0,0.515,0.485,0.5719
true sir best example aadharcard,positive,0.0,0.3,0.7,0.7906
abhishek ji leave job amp start aadhar kendra amp run family r per card god bless good health amp prosperity lifetime,positive,0.048,0.64,0.312,0.765
dumb answer head aadhar change phone password stop apps delete phone remotely finger print,negative,0.314,0.686,0.0,-0.6705
apex court reserve order mandatory linking aadhar pan new delhi may supreme court today rese,positive,0.0,0.726,0.274,0.5994
amount success film industry pretty sure woman india lead world smh,positive,0.124,0.378,0.497,0.7845
national security amp cyber attack cybersecurity problem internationally aadhar mybodymyrights,negative,0.382,0.461,0.158,-0.5267
dear uidai year since executive deliver original aadhar card registered address please help,positive,0.0,0.476,0.524,0.836
cheat sheet next time someone give ssn argument aadhar,negative,0.44,0.56,0.0,-0.6705
watch exclusive interview justice karnan newstoday full programme,positive,0.0,0.55,0.45,0.5994
man single mission end aadhar wow right god,positive,0.0,0.504,0.496,0.7096
aadhar case argument clear presentation great one bro,positive,0.176,0.352,0.472,0.6369
fake aadhar caught easily biometric verification fake pan,negative,0.456,0.368,0.176,-0.5859
aadhar data leak shocking state governance say congress window news,negative,0.389,0.611,0.0,-0.6249
real threat aadhar thief drain fa protected bank account abusing s routing protocol ar technica,negative,0.432,0.441,0.128,-0.7845
privacy indian culture value attorney general india submission supreme court last day aadhar card case,positive,0.0,0.684,0.316,0.7184
happen aadhar made mandatory cremation dead body,negative,0.406,0.472,0.123,-0.6124
aadhar data leak shocking state governance say congress,negative,0.459,0.541,0.0,-0.6249
agree two today aadhar former uidai member worked well lesser mean better,positive,0.0,0.545,0.455,0.7579
aadhar enrollment becoming huge problem please help,positive,0.208,0.231,0.562,0.5574
god save u aadhar,positive,0.0,0.159,0.841,0.6486
abhishek ji start aadhar kendra amp enjoy life r per card god bless good health prosperity lifetime,positive,0.0,0.522,0.478,0.875
novice aadhar data leak shocking state governance say congress govt want tell everybody parti,negative,0.293,0.632,0.075,-0.5859
aadhar data leak shocking state governance say congress politics news,negative,0.389,0.611,0.0,-0.6249
file case goi trying impose aadhar hapless citizen,negative,0.434,0.566,0.0,-0.5574
national identity aadhar card rejected today another state much simplifying thing,negative,0.248,0.752,0.0,-0.5106
aadhar data leak shocking state governance say congress news newdelhi,negative,0.389,0.611,0.0,-0.6249
even anti aadhar disgusting,negative,0.74,0.26,0.0,-0.6908
stop practice making aadhar supervisor blind making mockery digital india plan making blind,negative,0.524,0.476,0.0,-0.836
something rotten state denmark appear dragging foot aadhar case also,negative,0.268,0.732,0.0,-0.5106
superb aadhar discussion cnbc awaaz,positive,0.0,0.494,0.506,0.6249
congress aadhar data leak shocking state governance,negative,0.505,0.495,0.0,-0.6249
aadhar data leak shocking state governance say congress,negative,0.459,0.541,0.0,-0.6249
aadhar data leak shocking state governance say congress,negative,0.459,0.541,0.0,-0.6249
referendum modi party yr crime forced ruling judiciary fake notice record writ already proved hc,negative,0.412,0.472,0.116,-0.7845
still got card rather get country aadhar shit life get passport renewed gah,negative,0.231,0.769,0.0,-0.5574
court run cricket association get law making ruling supreme parliament aadhar v wll soon see cricket bench selection,positive,0.0,0.816,0.184,0.5574
aadhar new era slavery begin modi face get swayed hindutva debate,negative,0.324,0.676,0.0,-0.7003
two liar shamelessly trying oppose aadhar linking pan tax chor u visa dance naked,negative,0.341,0.659,0.0,-0.6908
fake pan racket ipo also took place guj fake aadhar card racket gujarat feku gujarat kuchh baat hai gujarat mein,negative,0.256,0.744,0.0,-0.7351
aadhar data leak shocking state governance say congress,negative,0.459,0.541,0.0,-0.6249
privacy act data taken unverified people data used profiling people ignoramus ag aadhar made dangerous,negative,0.316,0.684,0.0,-0.7184
editor take aadhar spot summed perfectly,positive,0.0,0.543,0.457,0.6369
tl today dagubooty secret screening cat goddamned getmethisforfree tweet aadhar wow first year without star war overload th,positive,0.108,0.541,0.35,0.7396
million voter id india wrong data due mistake computer operator let improve abandon aadhar,negative,0.394,0.469,0.136,-0.6705
every single argument aadhar hypothetical story amp wild imagination wonder anti aadhar groupie mocked everywhere,negative,0.372,0.628,0.0,-0.7269
want plead opposed aadhaar understand risk aadhar badly designed,negative,0.416,0.48,0.104,-0.5994
dear modi know take day update aadhar highly bosted digital india great india,positive,0.0,0.621,0.379,0.7717
saying aadhaar prevent illegal pan country hv aadhar corrupt crazy argument,negative,0.512,0.422,0.066,-0.8126
support aadhar one thing please centralize education institution hospital,positive,0.0,0.583,0.417,0.6124
dear pm bosting digital india know take day update aadhar great digital india,positive,0.0,0.621,0.379,0.7717
aadhar update request rejected system error reason given extremely frustrating urgent help required,negative,0.413,0.36,0.227,-0.6311
disagreement opposing aadhar amp aware problem omair pointed need structure,negative,0.394,0.606,0.0,-0.6369
manmohan ji also grt job india many good economic polucies like aadhar card modi opposed time manadatory,positive,0.0,0.735,0.265,0.6597
pan must linked aadhar must stop fraud case,negative,0.5,0.5,0.0,-0.7184
day supreme court reserved order petition mandatory aadhar income tax return,positive,0.0,0.647,0.353,0.5994
privileged getting maximum advantage aadhar,positive,0.0,0.38,0.62,0.5994
updating number aadhar card family costing thousand seems expensive plz help,positive,0.0,0.602,0.398,0.5106
hi order unblock account kindly share pan card side aadhar card via message gt gt,positive,0.0,0.534,0.466,0.8225
need start using aadhar card tweet bloody spare u ugh,negative,0.449,0.551,0.0,-0.6908
madam son away country six year student bank account frozen want aadhar pls help,positive,0.0,0.675,0.325,0.5106
basically use aadhar everything except written aadhar act great suggestion democracy,positive,0.0,0.709,0.291,0.6249
wondering happening sc around aadhar pan wrote fantastic summary thx,positive,0.0,0.567,0.433,0.7269
applied reliancejio sim filled form aadhar issued elsewhere sign mismatch amp lost r paid pathetic loot,negative,0.316,0.684,0.0,-0.7184
world getting ready aadhar look like,positive,0.0,0.444,0.556,0.6124
applied sim filled form aadhar issued elsewhere sign mismatch amp lost r paid pathetic loot,negative,0.333,0.667,0.0,-0.7184
u must b giving ur mobile n aadhar biometrics bank bank monitor u u indulge fraud u hv b panicked,negative,0.354,0.521,0.125,-0.6597
pan card abolish card aadhar card nonsense going india waste,negative,0.407,0.593,0.0,-0.6705
yr aadhar vles supervisor getting blind due flash light iris scanner citizen new sw stop,negative,0.274,0.726,0.0,-0.5994
actually aadhar planned control crime criminal unfortunately stupid intellectual diverted limited area,negative,0.611,0.251,0.138,-0.8834
dear pm refuse acknowledge aadhar card fr travelling nepal please help response yet,positive,0.117,0.479,0.404,0.6597
senior citizen denied pension getting ration railway denying concession aadhar card worse scenario,negative,0.457,0.543,0.0,-0.8126
great thread aadhar greatest achievement making million visible state must focus making sure system work transparent,positive,0.0,0.551,0.449,0.891
sun johnny depp ki aadhar copy agar phir se ulti baat ki toh teri yeh lath kaat kar teri hi ga nd mei fit kar dunga ghoda lagega god,positive,0.0,0.854,0.146,0.5574
supreme court reserve verdict linking aadhar pan,positive,0.0,0.49,0.51,0.6369
supreme court reserve verdict linking aadhar pan election achedin politics,positive,0.0,0.606,0.394,0.6369
supreme court reserve verdict linking aadhar pan,positive,0.0,0.49,0.51,0.6369
trust school protect student privacy many kv made aadhar dob amp mobile public aadharleaks,positive,0.0,0.67,0.33,0.7096
supreme court reserve verdict linking aadhar pan,positive,0.0,0.49,0.51,0.6369
aadhar neither mandatory compulsory filing income tax return instruction make mandatory absolutely illegal,negative,0.388,0.612,0.0,-0.6527
people grasp importance privacy individuality amp liberty sociocultural effect aadhar great damage,positive,0.151,0.377,0.472,0.7783
supreme court reserve verdict linking aadhar pan nationalnews zeenews,positive,0.0,0.574,0.426,0.6369
supreme court reserve verdict linking aadhar pan kashmirtelegraph,positive,0.0,0.536,0.464,0.6369
recommend state address certain aadhar related concern,positive,0.0,0.521,0.479,0.5574
aadhar also mobile dob sensitive detail imagine cyber criminal combination,negative,0.274,0.726,0.0,-0.5267
aadhar made pro active like immunization drive collect biometrics address file,positive,0.0,0.634,0.366,0.6369
student right privacy illegal make aadhar detail public,negative,0.34,0.66,0.0,-0.5574
congress left supporter making fun cow aadhar please dont make mess bjp cannot recover,positive,0.0,0.505,0.495,0.8321
recommended india protect digital right upr uprindia keepiton aadhar,positive,0.0,0.614,0.386,0.5267
sir also one party supreme court opposing aadhar,positive,0.0,0.488,0.512,0.743
aadhar deactivated informed hand stupid story stupid guy,negative,0.453,0.333,0.213,-0.5574
yet mp state million leaked u seems cia also aadhar card data weakness govt incompetency evident expect bap admit,negative,0.233,0.685,0.082,-0.5106
hv tweeted u many time reply want india ctznshp n pas hv sudan pas want surrender hv oci n pio n aadhar pls help,positive,0.0,0.708,0.292,0.5574
assuming hatred bjp talking issue recent data leak aadhar,negative,0.485,0.515,0.0,-0.765
thanks updated name aadhar linked pan thanks suggestion friendy concern,positive,0.0,0.58,0.42,0.7003
section society desperately rejecting idea aadhar,negative,0.583,0.417,0.0,-0.6808
good faith stop benevolent act destroying aadhar change maker working cause nation system,positive,0.25,0.345,0.405,0.5574
leakage part corruption corruption enemy aadhar,negative,0.412,0.588,0.0,-0.5423
exempt muslim terrorist pakistan amp bangla desh anti india amp anti hindu folk exempt,negative,0.441,0.427,0.133,-0.8176
govt justify amp support importance aadhar spent huge amount formation sud nt cross limit,positive,0.0,0.595,0.405,0.7579
benefit aadhar far many effective subsidy distribution nailing black money hoarder widening income tax base dont write,positive,0.0,0.711,0.289,0.7269
way look fail,negative,0.636,0.364,0.0,-0.5423
aadhar safe finger print others take undue advantage,positive,0.0,0.55,0.45,0.5994
hello hater modi ji destroy pakistan compelling pakis make submit aadhar number ind govt,negative,0.323,0.513,0.164,-0.6249
aadhar nothing showed muslim need behave sardana longer divided congress fascist govt,negative,0.247,0.753,0.0,-0.5574
nobody care aadhar id care mandatory interlinking,positive,0.0,0.342,0.658,0.7717
aadhar worst thing started upa completed bjp,negative,0.406,0.594,0.0,-0.6249
billion aadhar card issued india celebrates aadhar upr uprindia,positive,0.0,0.684,0.316,0.5719
sir give great argument aadhar ready listen,positive,0.191,0.305,0.504,0.6249
indian government submits commitment recalling welfare scheme proudly boast aadhar mybodymyrights uprindia,positive,0.0,0.617,0.383,0.7351
r trying enrolment aadhar handicapped person demand money please help,positive,0.12,0.48,0.4,0.5423
good ur father become st pm ur father become president south kashmir please submit ur aadhar ration card,positive,0.0,0.755,0.245,0.6369
please help aadhar enrolment handicapped person,positive,0.0,0.444,0.556,0.6124
aadhar cannot one key information must aadhar identity otp etc security aadhar money transfer safe,positive,0.0,0.71,0.29,0.6486
sc failed india implementing judgment aadhar medium distorting fascism rising socialism,negative,0.375,0.625,0.0,-0.6597
one surefire way ending terrorism compel pakistani aadhaar aadhar would end terrorism,negative,0.455,0.446,0.099,-0.8481
hi kindly follow u back send pan card side aadhar card attaching screenshot gt gt,positive,0.0,0.598,0.402,0.7506
cannot understand well long govt detail aadhar secured information must chk security,positive,0.114,0.566,0.32,0.5083
govt say refusing aadhar offender,negative,0.634,0.366,0.0,-0.6369
hi order unblock account kindly share pan card side aadhar card mail gt gt,positive,0.0,0.51,0.49,0.8225
read whole thread thrilling always mean tuesday come know aadhar going mandatory,positive,0.0,0.694,0.306,0.5267
ok aadhar let get kind tin foil territory,positive,0.0,0.517,0.483,0.6808
era discouraging use paper bank r keeping hard copy personal detail aadhar clientsrisky,negative,0.301,0.699,0.0,-0.5106
want read full submission made petitioner aadhar case brilliant research done,positive,0.0,0.638,0.362,0.6249
hello ambulance amp aadhar cow one hell legacy imho also century elevate lynching art form,negative,0.247,0.753,0.0,-0.6808
make argument aadhar dominant reality need consider poor state already mai baap,negative,0.359,0.641,0.0,-0.6808
kendall jenner cover vogueindia pretty sure much beautiful amp elegant woman many option,positive,0.0,0.419,0.581,0.91
many privileged understand appeal aadhar struggle identity document get state help naturally,positive,0.136,0.533,0.331,0.5106
brilliant job aadhar court reporting thanks,positive,0.0,0.374,0.626,0.7717
well deserved movie made heart smile sweety love,positive,0.0,0.362,0.638,0.8316
aadhar matter supreme court reserved order whether make mandatory link aadhar card pan dailyaddaa,positive,0.0,0.647,0.353,0.6124
saying govt lied said aadhar service delivery mechanism actually use illegal immigrant,negative,0.383,0.617,0.0,-0.7351
supreme court reserve order whether make mandatory link aadharcard pan,positive,0.0,0.62,0.38,0.5994
supreme court reserve judgment aadhar whether mandatory,positive,0.0,0.505,0.495,0.5994
supreme court reserve order whether make mandatory link aadharcard pan,positive,0.0,0.62,0.38,0.5994
aadhar case let sanity prevail strike orwellian madness,negative,0.423,0.577,0.0,-0.5267
indian state aadhar give monies kill labeling anti national,negative,0.5,0.5,0.0,-0.7906
aadhar matter supreme court reserved order whether make mandatory link aadhar card pan,positive,0.0,0.625,0.375,0.6124
aadhar matter supreme court reserved order whether make mandatory link aadhar card pan,positive,0.0,0.625,0.375,0.6124
aadharcard matter supreme court reserved order whether make mandatory link aadhar card pan,positive,0.0,0.625,0.375,0.6124
aadhar matter supreme court reserved order whether make mandatory link aadhar card pan,positive,0.0,0.625,0.375,0.6124
aadhar matter supreme court reserve order whether make mandatory link aadhar card pan,positive,0.0,0.625,0.375,0.6124
aadhar matter supreme court reserved order whether make mandatory link aadhar card pan,positive,0.0,0.625,0.375,0.6124
newsalert aadhar matter supreme court reserved order whether make mandatory link aadhar card pan,positive,0.0,0.647,0.353,0.6124
newsalert aadhar matter supreme court reserved order whether make mandatory link aadhar card pan,positive,0.0,0.647,0.353,0.6124
aadhar matter supreme court reserved order whether make mandatory link aadhar card pan,positive,0.0,0.625,0.375,0.6124
aadhar matter supreme court reserved order whether make mandatory link aadhar card pan,positive,0.0,0.625,0.375,0.6124
govt upa check tweet worry long aadhar really screw life,negative,0.365,0.635,0.0,-0.5563
aadhar number detail hacker lot harm must taken seriously,negative,0.416,0.48,0.104,-0.5994
well someone came said human right moral pre legal right though stake dignity aadhar,positive,0.0,0.636,0.364,0.6486
linking pan aadhar work privacy freedom integrity record person infringement right,positive,0.173,0.447,0.38,0.5719
let voice million opposing heard saluted supreme court india aadhar,positive,0.0,0.714,0.286,0.5574
year another system crop tackle fraud aadhar card go,negative,0.322,0.678,0.0,-0.5859
mostly anti national corrupt criminal behind anti aadhar campaign,negative,0.571,0.429,0.0,-0.7906
funny eye authority issue aadhar look like uidai p,positive,0.0,0.427,0.573,0.6908
decided name great grand child yet born last four digit aadhar number hassle,positive,0.0,0.543,0.457,0.8126
sir make aadhar card iam india dont want pancard cancelled please help,positive,0.077,0.501,0.422,0.6724
wonder people oppose linking aadhar pan give edge collect conduct investigation illegal,negative,0.247,0.753,0.0,-0.5574
aadhar epfo database help person leaf one company go another pf_amount carried forward easily,positive,0.0,0.702,0.298,0.6249
limit violation persistent violator status noted vehicle document licence aadhar,negative,0.452,0.548,0.0,-0.765
stockgyani federal income central sale value added across blue chip stock aadhar win contest,positive,0.0,0.659,0.341,0.7351
stockgyani federal income central sale value added across blue chip stock aadhar win contest,positive,0.0,0.659,0.341,0.7351
stockgyani federal income central sale value added across blue chip stock aadhar win,positive,0.0,0.64,0.36,0.7351
thanx liking tweet hope meet soon digitalindia n aadhar gov still use full potential aadhar,positive,0.0,0.682,0.318,0.6808
aa justice thakur left loophole justice aadhar,positive,0.0,0.424,0.576,0.7783
new hell linking aadhar electricity bill,negative,0.479,0.521,0.0,-0.6808
application aadhar useful purpose good result established last year,positive,0.0,0.547,0.453,0.7003
aadhar mandatory responsible gent please peddle,positive,0.0,0.337,0.663,0.5994
top mind move link aadhar pan projected threat privacy fact threat black money,negative,0.366,0.538,0.097,-0.7184
hmmm aadhar facebook google trace everything result good ever ok,positive,0.0,0.611,0.389,0.6249
piyushgoyaloffc interest consumer connect aadhar card electricity bill however mandatory,positive,0.0,0.65,0.35,0.5106
interest consumer connect aadhar card electricity bill however mandatory,positive,0.0,0.619,0.381,0.5106
honestly trust rule making aadhar mandatory god know fuck data security,positive,0.17,0.243,0.587,0.765
aadhar enrollment say rejected due data process error nd application rejected,negative,0.538,0.462,0.0,-0.8519
respected sir different procedure linking aadhar bank account different bank please make uniform,positive,0.0,0.671,0.329,0.6597
